,日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
0,104年01月05日,15.82,2.14,3.78,,
1,104年01月06日,15.14,2.24,3.62,,
2,104年01月07日,15.19,2.23,3.63,,
3,104年01月08日,15.65,2.17,3.74,,
4,104年01月09日,15.19,2.23,3.63,,
5,104年01月12日,14.97,2.27,3.58,,
6,104年01月13日,15.02,2.26,3.59,,
7,104年01月14日,14.74,2.30,3.52,,
8,104年01月15日,14.91,2.27,3.56,,
9,104年01月16日,15.53,2.18,3.71,,
10,104年01月19日,15.76,2.15,3.77,,
11,104年01月20日,15.65,2.17,3.74,,
12,104年01月21日,15.99,2.12,3.82,,
13,104年01月22日,15.87,2.14,3.80,,
14,104年01月23日,16.44,2.06,3.93,,
15,104年01月26日,16.44,2.06,3.93,,
16,104年01月27日,16.67,2.03,3.98,,
17,104年01月28日,16.61,2.04,3.97,,
18,104年01月29日,16.27,2.08,3.89,,
19,104年01月30日,15.99,2.12,3.82,,
20,104年02月02日,16.16,2.10,3.86,,
21,104年02月03日,16.38,2.07,3.92,,
22,104年02月04日,16.55,2.05,3.96,,
23,104年02月05日,16.50,2.05,3.94,,
24,104年02月06日,16.21,2.09,3.88,,
25,104年02月09日,16.10,2.11,3.85,,
26,104年02月10日,16.16,2.10,3.86,,
27,104年02月11日,16.78,2.02,4.01,,
28,104年02月12日,16.84,3.03,4.03,,
29,104年02月13日,16.84,3.03,4.03,,
30,104年02月24日,17.12,2.98,3.75,,
31,104年02月25日,15.18,2.91,3.83,,
32,104年02月26日,14.78,2.99,3.73,,
33,104年03月02日,14.64,3.02,3.70,,
34,104年03月03日,14.78,2.99,3.73,,
35,104年03月04日,14.78,2.99,3.73,,
36,104年03月05日,14.73,3.00,3.72,,
37,104年03月06日,14.64,3.02,3.70,,
38,104年03月09日,14.29,3.09,3.61,,
39,104年03月10日,14.15,3.13,3.57,,
40,104年03月11日,14.34,3.08,3.62,,
41,104年03月12日,14.54,3.04,3.67,,
42,104年03月13日,14.64,3.02,3.70,,
43,104年03月16日,14.34,3.08,3.62,,
44,104年03月17日,14.64,3.02,3.70,,
45,104年03月18日,15.08,2.93,3.81,,
46,104年03月19日,15.13,2.92,3.82,,
47,104年03月20日,15.13,2.92,3.82,,
48,104年03月23日,15.08,2.93,3.81,,
49,104年03月24日,14.88,2.97,3.76,,
50,104年03月25日,14.83,2.98,3.75,,
51,104年03月26日,14.29,3.09,3.61,,
52,104年03月27日,14.00,3.16,3.53,,
53,104年03月30日,14.00,3.16,3.53,,
54,104年03月31日,14.29,3.09,3.61,,
55,104年04月01日,14.15,3.13,3.57,,
56,104年04月02日,14.44,3.06,3.65,,
57,104年04月07日,14.34,3.08,3.62,,
58,104年04月08日,14.05,3.15,3.55,,
59,104年04月09日,14.05,3.15,3.55,,
60,104年04月10日,14.44,3.06,3.65,,
61,104年04月13日,14.44,3.06,3.65,,
62,104年04月14日,14.15,3.13,3.57,,
63,104年04月15日,14.05,3.15,3.55,,
64,104年04月16日,14.44,3.06,3.65,,
65,104年04月17日,14.00,3.16,3.53,,
66,104年04月20日,14.05,3.15,3.55,,
67,104年04月21日,14.00,3.16,3.53,,
68,104年04月22日,14.10,3.14,3.56,,
69,104年04月23日,14.44,3.06,3.65,,
70,104年04月24日,14.98,2.95,3.78,,
71,104年04月27日,14.88,2.97,3.76,,
72,104年04月28日,14.88,2.97,3.76,,
73,104年04月29日,14.59,3.03,3.68,,
74,104年04月30日,14.44,3.06,3.65,,
75,104年05月04日,14.49,3.05,3.66,,
76,104年05月05日,14.44,3.06,3.65,,
77,104年05月06日,14.49,3.05,3.66,,
78,104年05月07日,14.39,3.07,3.63,,
79,104年05月08日,14.39,3.07,3.63,,
80,104年05月11日,14.59,3.03,3.68,,
81,104年05月12日,14.49,3.05,3.40,,
82,104年05月13日,13.01,3.04,3.41,,
83,104年05月14日,12.83,3.08,3.37,,
84,104年05月15日,12.87,3.07,3.38,,
85,104年05月18日,12.87,3.07,3.38,,
86,104年05月19日,12.87,3.07,3.38,,
87,104年05月20日,12.87,3.07,3.38,,
88,104年05月21日,12.79,3.09,3.36,,
89,104年05月22日,12.79,3.09,3.36,,
90,104年05月25日,12.96,3.05,3.40,,
91,104年05月26日,12.87,3.07,3.38,,
92,104年05月27日,12.74,3.10,3.35,,
93,104年05月28日,12.92,3.06,3.39,,
94,104年05月29日,12.83,3.08,3.37,,
95,104年06月01日,12.74,3.10,3.35,,
96,104年06月02日,12.65,3.13,3.32,,
97,104年06月03日,12.57,3.15,3.30,,
98,104年06月04日,12.39,3.19,3.25,,
99,104年06月05日,12.30,3.21,3.23,,
100,104年06月08日,12.17,3.25,3.20,,
101,104年06月09日,12.21,3.24,3.21,,
102,104年06月10日,12.26,3.23,3.22,,
103,104年06月11日,12.61,3.14,3.31,,
104,104年06月12日,12.70,3.11,3.33,,
105,104年06月15日,12.57,3.15,3.30,,
106,104年06月16日,12.48,3.17,3.28,,
107,104年06月17日,12.52,3.16,3.29,,
108,104年06月18日,12.48,3.17,3.28,,
109,104年06月22日,12.48,3.17,3.28,,
110,104年06月23日,12.70,3.11,3.33,,
111,104年06月24日,12.74,3.10,3.35,,
112,104年06月25日,12.87,3.07,3.38,,
113,104年06月26日,12.83,3.08,3.37,,
114,104年06月29日,12.17,3.25,3.20,,
115,104年06月30日,12.35,3.20,3.24,,
116,104年07月01日,12.39,3.19,3.25,,
117,104年07月02日,12.43,3.18,3.26,,
118,104年07月03日,12.52,3.16,3.29,,
119,104年07月06日,12.35,3.20,3.24,,
120,104年07月07日,12.35,3.20,3.24,,
121,104年07月08日,12.13,3.26,3.18,,
122,104年07月09日,11.99,3.30,3.15,,
123,104年07月13日,12.17,3.25,3.20,,
124,104年07月14日,12.17,3.25,3.20,,
125,104年07月15日,12.17,3.25,3.20,,
126,104年07月16日,11.99,3.30,3.15,,
127,104年07月17日,12.30,3.21,3.23,,
128,104年07月20日,12.21,3.24,3.21,,
129,104年07月21日,12.35,3.20,3.24,,
130,104年07月22日,12.21,3.24,3.21,,
131,104年07月23日,11.95,3.31,3.14,,
132,104年07月24日,12.04,3.28,3.16,,
133,104年07月27日,11.78,3.36,3.09,,
134,104年07月28日,11.78,3.36,3.09,,
135,104年07月29日,11.91,3.32,3.13,,
136,104年07月30日,12.17,3.25,3.20,,
137,104年07月31日,12.26,3.23,3.22,,
138,104年08月03日,11.82,3.35,3.10,,
139,104年08月04日,11.99,3.30,3.15,,
140,104年08月05日,11.78,3.36,3.09,,
141,104年08月06日,11.78,3.36,3.09,,
142,104年08月07日,11.69,3.38,3.07,,
143,104年08月10日,11.34,3.49,2.98,,
144,104年08月11日,11.47,3.45,3.01,,
145,104年08月12日,11.29,3.50,3.12,,
146,104年08月13日,10.54,3.52,3.11,,
147,104年08月14日,10.38,3.57,3.06,,
148,104年08月17日,10.21,3.63,3.01,,
149,104年08月18日,10.38,3.57,3.06,,
150,104年08月19日,10.30,3.60,3.04,,
151,104年08月20日,10.38,3.57,3.06,,
152,104年08月21日,9.97,3.72,2.94,,
153,104年08月24日,9.47,3.91,2.80,,
154,104年08月25日,10.17,3.64,3.00,,
155,104年08月26日,10.09,3.67,2.98,,
156,104年08月27日,10.21,3.63,3.01,,
157,104年08月28日,10.30,3.60,3.04,,
158,104年08月31日,10.63,3.49,3.14,,
159,104年09月01日,10.21,3.63,3.01,,
160,104年09月02日,10.34,3.59,3.05,,
161,104年09月03日,10.46,3.54,3.09,,
162,104年09月04日,10.30,3.60,3.04,,
163,104年09月07日,10.09,3.67,2.98,,
164,104年09月08日,10.13,3.66,2.99,,
165,104年09月09日,10.63,3.49,3.14,,
166,104年09月10日,10.30,3.60,3.04,,
167,104年09月11日,10.50,3.53,3.10,,
168,104年09月14日,10.50,3.53,3.10,,
169,104年09月15日,10.38,3.57,3.06,,
170,104年09月16日,10.67,3.47,3.15,,
171,104年09月17日,10.79,3.44,3.19,,
172,104年09月18日,10.83,3.42,3.20,,
173,104年09月21日,10.67,3.47,3.15,,
174,104年09月22日,10.63,3.49,3.14,,
175,104年09月23日,10.26,3.61,3.03,,
176,104年09月24日,10.46,3.54,3.09,,
177,104年09月25日,10.46,3.54,3.09,,
178,104年09月30日,10.71,3.46,3.16,,
179,104年10月01日,11.00,3.37,3.25,,
180,104年10月02日,10.87,3.41,3.21,,
181,104年10月05日,10.91,3.40,3.22,,
182,104年10月06日,10.96,3.38,3.23,,
183,104年10月07日,11.12,3.33,3.28,,
184,104年10月08日,11.20,3.31,3.31,,
185,104年10月12日,11.41,3.25,3.37,,
186,104年10月13日,11.33,3.27,3.34,,
187,104年10月14日,11.24,3.30,3.32,,
188,104年10月15日,11.53,3.21,3.40,,
189,104年10月16日,11.33,3.27,3.34,,
190,104年10月19日,11.37,3.26,3.36,,
191,104年10月20日,11.45,3.24,3.38,,
192,104年10月21日,11.41,3.25,3.37,,
193,104年10月22日,11.33,3.27,3.34,,
194,104年10月23日,11.53,3.21,3.40,,
195,104年10月26日,11.53,3.21,3.40,,
196,104年10月27日,11.45,3.24,3.38,,
197,104年10月28日,11.37,3.26,3.36,,
198,104年10月29日,11.24,3.30,3.32,,
199,104年10月30日,11.24,3.30,3.32,,
200,104年11月02日,11.33,3.27,3.34,,
201,104年11月03日,11.49,3.23,3.39,,
202,104年11月04日,11.90,3.11,3.51,,
203,104年11月05日,11.74,3.16,3.46,,
204,104年11月06日,11.53,3.21,3.40,,
205,104年11月09日,11.70,3.17,3.45,,
206,104年11月10日,11.49,3.23,3.39,,
207,104年11月11日,11.36,3.27,3.10,,
208,104年11月12日,11.45,3.25,3.12,,
209,104年11月13日,11.24,3.31,3.06,,
210,104年11月16日,11.16,3.33,3.04,,
211,104年11月17日,11.45,3.25,3.12,,
212,104年11月18日,11.32,3.28,3.09,,
213,104年11月19日,11.61,3.20,3.17,,
214,104年11月20日,11.65,3.19,3.18,,
215,104年11月23日,11.65,3.19,3.18,,
216,104年11月24日,11.53,3.23,3.14,,
217,104年11月25日,11.65,3.19,3.18,,
218,104年11月26日,11.78,3.16,3.21,,
219,104年11月27日,11.49,3.24,3.13,,
220,104年11月30日,11.49,3.24,3.13,,
221,104年12月01日,11.78,3.16,3.21,,
222,104年12月02日,11.78,3.16,3.21,,
223,104年12月03日,11.78,3.16,3.21,,
224,104年12月04日,11.61,3.20,3.17,,
225,104年12月07日,11.86,3.14,3.23,,
226,104年12月08日,11.78,3.16,3.21,,
227,104年12月09日,11.61,3.20,3.17,,
228,104年12月10日,11.65,3.19,3.18,,
229,104年12月11日,11.53,3.23,3.14,,
230,104年12月14日,11.49,3.24,3.13,,
231,104年12月15日,11.40,3.26,3.11,,
232,104年12月16日,11.86,3.14,3.23,,
233,104年12月17日,11.98,3.10,3.27,,
234,104年12月18日,11.74,3.17,3.20,,
235,104年12月21日,11.69,3.18,3.19,,
236,104年12月22日,11.74,3.17,3.20,,
237,104年12月23日,11.69,3.18,3.19,,
238,104年12月24日,11.74,3.17,3.20,,
239,104年12月25日,11.82,3.15,3.22,,
240,104年12月28日,11.86,3.14,3.23,,
241,104年12月29日,11.74,3.17,3.20,,
242,104年12月30日,11.78,3.16,3.21,,
243,104年12月31日,11.82,3.15,3.22,,
244,105年01月04日,11.53,3.23,3.14,,
245,105年01月05日,11.40,3.26,3.11,,
246,105年01月06日,11.20,3.32,3.05,,
247,105年01月07日,10.99,3.38,3.00,,
248,105年01月08日,11.07,3.36,3.02,,
249,105年01月11日,10.99,3.38,3.00,,
250,105年01月12日,10.99,3.38,3.00,,
251,105年01月13日,11.03,3.37,3.01,,
252,105年01月14日,10.87,3.42,2.96,,
253,105年01月15日,11.32,3.28,3.09,,
254,105年01月18日,11.32,3.28,3.09,,
255,105年01月19日,11.40,3.26,3.11,,
256,105年01月20日,11.12,3.35,3.03,,
257,105年01月21日,11.16,3.33,3.04,,
258,105年01月22日,11.45,3.25,3.12,,
259,105年01月25日,11.53,3.23,3.14,,
260,105年01月26日,11.36,3.27,3.10,,
261,105年01月27日,11.53,3.23,3.14,,
262,105年01月28日,11.57,3.21,3.15,,
263,105年01月29日,11.82,3.15,3.22,,
264,105年01月30日,11.74,3.17,3.20,,
265,105年02月01日,11.90,3.13,3.24,,
266,105年02月02日,11.78,3.16,3.21,,
267,105年02月03日,12.07,4.11,3.29,,
268,105年02月15日,12.27,4.14,3.08,,
269,105年02月16日,12.48,4.07,3.13,,
270,105年02月17日,12.52,4.05,3.14,,
271,105年02月18日,12.77,3.97,3.21,,
272,105年02月19日,12.77,3.97,3.21,,
273,105年02月22日,12.77,3.97,3.21,,
274,105年02月23日,12.65,4.01,3.17,,
275,105年02月24日,12.52,4.05,3.14,,
276,105年02月25日,12.73,3.99,3.19,,
277,105年02月26日,12.61,4.03,3.16,,
278,105年03月01日,12.86,3.95,3.23,,
279,105年03月02日,12.94,3.92,3.25,,
280,105年03月03日,13.03,3.90,3.27,,
281,105年03月04日,12.90,3.93,3.24,,
282,105年03月07日,12.86,3.95,3.23,,
283,105年03月08日,12.86,3.95,3.23,,
284,105年03月09日,12.94,3.92,3.25,,
285,105年03月10日,13.07,3.88,3.28,,
286,105年03月11日,13.11,3.87,3.29,,
287,105年03月14日,13.20,3.85,3.31,,
288,105年03月15日,13.07,3.88,3.28,,
289,105年03月16日,13.20,3.85,3.31,,
290,105年03月17日,13.41,3.79,3.36,,
291,105年03月18日,13.49,3.76,3.39,,
292,105年03月21日,13.54,3.75,3.40,,
293,105年03月22日,13.41,3.79,3.36,,
294,105年03月23日,13.49,3.76,3.39,,
295,105年03月24日,13.41,3.79,3.36,,
296,105年03月25日,13.37,3.80,3.35,,
297,105年03月28日,13.45,3.77,3.38,,
298,105年03月29日,13.45,3.77,3.38,,
299,105年03月30日,13.66,3.72,3.43,,
300,105年03月31日,13.71,3.70,3.44,,
301,105年04月01日,13.41,3.79,3.36,,
302,105年04月06日,12.99,3.91,3.26,,
303,105年04月07日,13.07,3.88,3.28,,
304,105年04月08日,13.32,3.81,3.34,,
305,105年04月11日,13.41,3.79,3.36,,
306,105年04月12日,13.41,3.79,3.36,,
307,105年04月13日,13.66,3.72,3.43,,
308,105年04月14日,13.66,3.72,3.43,,
309,105年04月15日,13.49,3.76,3.39,,
310,105年04月18日,13.37,3.80,3.35,,
311,105年04月19日,13.32,3.81,3.34,,
312,105年04月20日,13.03,3.90,3.27,,
313,105年04月21日,13.28,3.82,3.33,,
314,105年04月22日,13.24,3.83,3.32,,
315,105年04月25日,13.32,3.81,3.34,,
316,105年04月26日,13.37,3.80,3.35,,
317,105年04月27日,13.24,3.83,3.32,,
318,105年04月28日,12.94,3.92,3.25,,
319,105年04月29日,12.69,4.00,3.18,,
320,105年05月03日,12.48,4.07,3.13,,
321,105年05月04日,12.44,4.08,3.12,,
322,105年05月05日,12.48,4.07,3.13,,
323,105年05月06日,12.52,4.05,3.14,,
324,105年05月09日,12.48,4.07,3.13,,
325,105年05月10日,12.44,4.08,3.12,,
326,105年05月11日,13.04,4.08,2.98,,
327,105年05月12日,12.95,4.11,2.96,,
328,105年05月13日,12.78,4.17,2.92,,
329,105年05月16日,12.82,4.15,2.93,,
330,105年05月17日,13.04,4.08,2.98,,
331,105年05月18日,13.04,4.08,2.98,,
332,105年05月19日,13.04,4.08,2.98,,
333,105年05月20日,13.18,4.04,3.01,,
334,105年05月23日,13.66,3.90,3.12,,
335,105年05月24日,13.40,3.97,3.06,,
336,105年05月25日,13.71,3.88,3.13,,
337,105年05月26日,13.75,3.87,3.14,,
338,105年05月27日,13.89,3.83,3.17,,
339,105年05月30日,13.93,3.82,3.18,,
340,105年05月31日,13.89,3.83,3.17,,
341,105年06月01日,14.11,3.77,3.22,,
342,105年06月02日,14.11,3.77,3.22,,
343,105年06月03日,14.24,3.74,3.25,,
344,105年06月04日,14.20,3.75,3.24,,
345,105年06月06日,14.29,3.73,3.26,,
346,105年06月07日,14.37,3.70,3.28,,
347,105年06月08日,14.69,3.63,3.35,,
348,105年06月13日,14.37,3.70,3.28,,
349,105年06月14日,14.37,3.70,3.28,,
350,105年06月15日,14.46,3.68,3.30,,
351,105年06月16日,14.24,3.74,3.25,,
352,105年06月17日,14.46,3.68,3.30,,
353,105年06月20日,14.46,3.68,3.30,,
354,105年06月21日,14.69,3.63,3.35,,
355,105年06月22日,14.73,3.61,3.36,,
356,105年06月23日,14.55,3.66,3.32,,
357,105年06月24日,14.11,3.77,3.22,,
358,105年06月27日,13.80,3.86,3.15,,
359,105年06月28日,13.93,3.82,3.18,,
360,105年06月29日,14.11,3.77,3.22,,
361,105年06月30日,14.42,3.69,3.29,,
362,105年07月01日,14.73,3.61,3.36,,
363,105年07月04日,14.73,3.61,3.36,,
364,105年07月05日,14.55,3.66,3.32,,
365,105年07月06日,14.33,3.72,3.27,,
366,105年07月07日,14.60,3.65,3.33,,
367,105年07月11日,15.08,3.53,3.44,,
368,105年07月12日,15.17,3.51,3.46,,
369,105年07月13日,14.95,3.56,3.41,,
370,105年07月14日,15.00,3.55,3.42,,
371,105年07月15日,15.04,3.54,3.43,,
372,105年07月18日,15.04,3.54,3.43,,
373,105年07月19日,15.13,3.52,3.45,,
374,105年07月20日,15.08,3.53,3.44,,
375,105年07月21日,15.26,3.49,3.48,,
376,105年07月22日,15.17,3.51,3.46,,
377,105年07月25日,15.22,3.50,3.47,,
378,105年07月26日,15.35,3.47,3.50,,
379,105年07月27日,15.53,3.43,3.55,,
380,105年07月28日,15.66,3.40,3.58,,
381,105年07月29日,15.31,3.48,3.49,,
382,105年08月01日,15.71,3.39,3.59,,
383,105年08月02日,15.62,3.41,3.57,,
384,105年08月03日,15.31,3.48,3.49,,
385,105年08月04日,15.85,3.44,3.78,,
386,105年08月05日,16.08,3.39,3.84,,
387,105年08月08日,16.17,3.37,3.86,,
388,105年08月09日,16.21,3.36,3.87,,
389,105年08月10日,16.30,3.34,3.89,,
390,105年08月11日,16.03,3.40,3.83,,
391,105年08月12日,16.12,3.38,3.85,,
392,105年08月15日,16.26,3.35,3.88,,
393,105年08月16日,15.94,3.42,3.80,,
394,105年08月17日,16.08,3.39,3.84,,
395,105年08月18日,15.99,3.41,3.81,,
396,105年08月19日,15.85,3.44,3.78,,
397,105年08月22日,15.71,3.47,3.75,,
398,105年08月23日,15.80,3.45,3.77,,
399,105年08月24日,15.76,3.46,3.76,,
400,105年08月25日,16.08,3.39,3.84,,
401,105年08月26日,16.08,3.39,3.84,,
402,105年08月29日,16.03,3.40,3.83,,
403,105年08月30日,15.85,3.44,3.78,,
404,105年08月31日,15.99,3.41,3.81,,
405,105年09月01日,15.76,3.46,3.76,,
406,105年09月02日,15.85,3.44,3.78,,
407,105年09月05日,16.03,3.40,3.83,,
408,105年09月06日,16.26,3.35,3.88,,
409,105年09月07日,16.71,3.26,3.99,,
410,105年09月08日,16.62,3.28,3.97,,
411,105年09月09日,16.30,3.34,3.89,,
412,105年09月10日,16.17,3.37,3.86,,
413,105年09月12日,15.89,3.43,3.79,,
414,105年09月13日,15.89,3.43,3.79,,
415,105年09月14日,15.76,3.46,3.76,,
416,105年09月19日,16.58,3.29,3.96,,
417,105年09月20日,16.62,3.28,3.97,,
418,105年09月21日,16.71,3.26,3.99,,
419,105年09月22日,16.85,3.23,4.02,,
420,105年09月23日,17.03,3.20,4.06,,
421,105年09月26日,16.62,3.28,3.97,,
422,105年09月29日,16.85,3.23,4.02,,
423,105年09月30日,16.58,3.29,3.96,,
424,105年10月03日,16.89,3.23,4.03,,
425,105年10月04日,16.98,3.21,4.05,,
426,105年10月05日,16.89,3.23,4.03,,
427,105年10月06日,17.03,3.20,4.06,,
428,105年10月07日,17.08,3.19,4.07,,
429,105年10月11日,17.03,3.20,4.06,,
430,105年10月12日,17.21,3.17,4.11,,
431,105年10月13日,17.12,3.18,4.09,,
432,105年10月14日,17.08,3.19,4.07,,
433,105年10月17日,16.94,3.22,4.04,,
434,105年10月18日,16.98,3.21,4.05,,
435,105年10月19日,17.21,3.17,4.11,,
436,105年10月20日,17.30,3.15,4.13,,
437,105年10月21日,17.12,3.18,4.09,,
438,105年10月24日,17.35,3.14,4.14,,
439,105年10月25日,17.53,3.11,4.18,,
440,105年10月26日,17.39,3.13,4.15,,
441,105年10月27日,17.12,3.18,4.09,,
442,105年10月28日,17.21,3.17,4.11,,
443,105年10月31日,17.12,3.18,4.09,,
444,105年11月01日,17.21,3.17,4.11,,
445,105年11月02日,16.89,3.23,4.03,,
446,105年11月03日,16.76,3.25,4.00,,
447,105年11月04日,16.76,3.25,4.00,,
448,105年11月07日,17.17,3.17,4.10,,
449,105年11月08日,17.12,3.18,4.09,,
450,105年11月09日,15.38,3.30,3.68,,
451,105年11月10日,15.68,3.23,3.75,,
452,105年11月11日,15.34,3.31,3.67,,
453,105年11月14日,15.26,3.32,3.65,,
454,105年11月15日,15.22,3.33,3.64,,
455,105年11月16日,15.22,3.33,3.64,,
456,105年11月17日,15.34,3.31,3.67,,
457,105年11月18日,15.30,3.31,3.66,,
458,105年11月21日,15.30,3.31,3.66,,
459,105年11月22日,15.55,3.26,3.72,,
460,105年11月23日,15.68,3.23,3.75,,
461,105年11月24日,15.47,3.28,3.70,,
462,105年11月25日,15.38,3.30,3.68,,
463,105年11月28日,15.55,3.26,3.72,,
464,105年11月29日,15.38,3.30,3.68,,
465,105年11月30日,15.47,3.28,3.70,,
466,105年12月01日,15.47,3.28,3.70,,
467,105年12月02日,15.05,3.37,3.60,,
468,105年12月05日,15.13,3.35,3.62,,
469,105年12月06日,15.38,3.30,3.68,,
470,105年12月07日,15.34,3.31,3.67,,
471,105年12月08日,15.68,3.23,3.75,,
472,105年12月09日,15.72,3.23,3.76,,
473,105年12月12日,15.64,3.24,3.74,,
474,105年12月13日,15.72,3.23,3.76,,
475,105年12月14日,15.85,3.20,3.79,,
476,105年12月15日,15.81,3.21,3.78,,
477,105年12月16日,15.64,3.24,3.74,,
478,105年12月19日,15.43,3.29,3.69,,
479,105年12月20日,15.43,3.29,3.69,,
480,105年12月21日,15.22,3.33,3.64,,
481,105年12月22日,15.13,3.35,3.62,,
482,105年12月23日,15.09,3.36,3.61,,
483,105年12月26日,15.17,3.34,3.63,,
484,105年12月27日,15.22,3.33,3.64,,
485,105年12月28日,15.38,3.30,3.68,,
486,105年12月29日,15.22,3.33,3.64,,
487,105年12月30日,15.34,3.31,3.67,,
488,106年01月03日,15.47,3.28,3.70,,
489,106年01月04日,15.47,3.28,3.70,,
490,106年01月05日,15.51,3.27,3.71,,
491,106年01月06日,15.55,3.26,3.72,,
492,106年01月09日,15.55,3.26,3.72,,
493,106年01月10日,15.55,3.26,3.72,,
494,106年01月11日,15.38,3.30,3.68,,
495,106年01月12日,15.60,3.25,3.73,,
496,106年01月13日,15.34,3.31,3.67,,
497,106年01月16日,15.17,3.34,3.63,,
498,106年01月17日,15.30,3.31,3.66,,
499,106年01月18日,15.30,3.31,3.66,,
500,106年01月19日,15.26,3.32,3.65,,
501,106年01月20日,15.30,3.31,3.66,,
502,106年01月23日,15.64,3.24,3.74,,
503,106年01月24日,15.68,3.23,3.75,,
504,106年02月02日,15.60,3.25,3.73,,
505,106年02月03日,15.60,3.25,3.73,,
506,106年02月06日,15.60,3.25,3.73,,
507,106年02月07日,15.60,3.25,3.73,,
508,106年02月08日,15.51,3.27,3.71,,
509,106年02月09日,15.55,3.26,3.72,,
510,106年02月10日,15.68,3.23,3.75,,
511,106年02月13日,15.85,3.20,3.79,,
512,106年02月14日,15.85,3.20,3.79,,
513,106年02月15日,15.98,3.70,3.82,,
514,106年02月16日,14.66,3.70,3.53,,
515,106年02月17日,14.70,3.69,3.54,,
516,106年02月18日,14.70,3.69,3.54,,
517,106年02月20日,14.74,3.68,3.55,,
518,106年02月21日,14.74,3.68,3.55,,
519,106年02月22日,14.62,3.71,3.52,,
520,106年02月23日,14.62,3.71,3.52,,
521,106年02月24日,14.66,3.70,3.53,,
522,106年03月01日,14.43,3.76,3.47,,
523,106年03月02日,14.43,3.76,3.47,,
524,106年03月03日,14.27,3.80,3.43,,
525,106年03月06日,14.24,3.81,3.42,,
526,106年03月07日,14.39,3.77,3.46,,
527,106年03月08日,14.51,3.74,3.49,,
528,106年03月09日,14.31,3.79,3.44,,
529,106年03月10日,14.24,3.81,3.42,,
530,106年03月13日,14.47,3.75,3.48,,
531,106年03月14日,14.43,3.76,3.47,,
532,106年03月15日,14.47,3.75,3.48,,
533,106年03月16日,14.74,3.68,3.55,,
534,106年03月17日,14.86,3.66,3.57,,
535,106年03月20日,14.86,3.66,3.57,,
536,106年03月21日,15.13,3.59,3.64,,
537,106年03月22日,15.01,3.62,3.61,,
538,106年03月23日,15.01,3.62,3.61,,
539,106年03月24日,14.93,3.64,3.59,,
540,106年03月27日,14.97,3.63,3.60,,
541,106年03月28日,15.09,3.60,3.63,,
542,106年03月29日,14.86,3.66,3.57,,
543,106年03月30日,14.86,3.66,3.57,,
544,106年03月31日,14.66,3.70,3.53,,
545,106年04月05日,14.97,3.63,3.60,,
546,106年04月06日,14.86,3.66,3.57,,
547,106年04月07日,14.82,3.66,3.56,,
548,106年04月10日,14.74,3.68,3.55,,
549,106年04月11日,14.82,3.66,3.56,,
550,106年04月12日,14.82,3.66,3.56,105,105/4
551,106年04月13日,14.86,3.66,3.57,105,105/4
552,106年04月14日,14.66,3.70,3.53,105,105/4
553,106年04月17日,14.55,3.73,3.50,105,105/4
554,106年04月18日,14.58,3.72,3.51,105,105/4
555,106年04月19日,14.47,3.75,3.48,105,105/4
556,106年04月20日,14.51,3.74,3.49,105,105/4
557,106年04月21日,14.74,3.68,3.55,105,105/4
558,106年04月24日,14.74,3.68,3.55,105,105/4
559,106年04月25日,14.90,3.65,3.58,105,105/4
560,106年04月26日,14.82,3.66,3.56,105,105/4
561,106年04月27日,14.97,3.63,3.60,105,105/4
562,106年04月28日,15.09,3.60,3.63,105,105/4
563,106年05月02日,15.24,3.56,3.67,105,105/4
564,106年05月03日,15.36,3.54,3.70,105,105/4
565,106年05月04日,15.36,3.54,3.70,105,105/4
566,106年05月05日,15.32,3.54,3.69,105,105/4
567,106年05月08日,15.71,3.46,3.78,105,105/4
568,106年05月09日,15.79,3.44,3.80,105,105/4
569,106年05月10日,14.92,3.41,3.66,105,106/1
570,106年05月11日,15.07,3.37,3.70,105,106/1
571,106年05月12日,14.96,3.40,3.67,105,106/1
572,106年05月15日,14.96,3.40,3.67,105,106/1
573,106年05月16日,14.85,3.42,3.64,105,106/1
574,106年05月17日,14.81,3.43,3.63,105,106/1
575,106年05月18日,14.78,3.44,3.63,105,106/1
576,106年05月19日,14.74,3.45,3.62,105,106/1
577,106年05月22日,14.89,3.41,3.65,105,106/1
578,106年05月23日,14.89,3.41,3.65,105,106/1
579,106年05月24日,14.92,3.41,3.66,105,106/1
580,106年05月25日,15.03,3.38,3.69,105,106/1
581,106年05月26日,15.03,3.38,3.69,105,106/1
582,106年05月31日,14.74,3.45,3.62,105,106/1
583,106年06月01日,15.03,3.38,3.69,105,106/1
