,公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
23,2540,金尚昌,0,0,0,,,0,0,
24,2542,興富發,5587619,1562312,4129544,257.65,35.3,5587619,4129544,35.3
25,2543,皇昌營造,374662,521180,446147,-28.11,-16.02,374662,446147,-16.02
26,2545,皇翔,91457,154438,48449,-40.78,88.76,91457,48449,88.76
27,2546,根基,530249,739291,323479,-28.27,63.92,530249,323479,63.92
28,2547,日勝,1542843,1269276,825149,21.55,86.97,1542843,825149,86.97
29,2548,華固建設,1936730,1073701,1745416,80.37,10.96,1936730,1745416,10.96
30,2597,潤弘精密,335826,335301,447599,0.15,-24.97,335826,447599,-24.97
31,2841,台灣土地,4083,14861,45045,-72.52,-90.93,4083,45045,-90.93
32,3056,總太地產,5338,143617,90899,-96.28,-94.12,5338,90899,-94.12
33,3703,欣陸投控,163937,-63620,0,357.68,,163937,0,
34,5515,建國工程,301711,725257,388314,-58.39,-22.3,301711,388314,-22.3
35,5521,工信,487546,413595,934086,17.88,-47.8,487546,934086,-47.8
36,5522,遠雄建設,1817757,1646385,3186317,10.4,-42.95,1817757,3186317,-42.95
37,5525,順天建設,132406,274720,48050,-51.8,175.55,132406,48050,175.55
38,5531,鄉林建設,117549,285999,257838,-58.89,-54.4,117549,257838,-54.4
39,5533,皇鼎建設,295912,362,495101,81643.64,-40.23,295912,495101,-40.23
40,5534,長虹,766066,328021,846592,133.54,-9.51,766066,846592,-9.51
0,2208,台船公司,2756939,2453808,2165095,12.35,27.33,2756939,2165095,27.33
1,2601,益航,15940,16878,20486,-5.55,-22.19,15940,20486,-22.19
2,2603,長榮海運,1400696,1400792,1164396,-0.0,20.29,1400696,1164396,20.29
3,2605,新興,16249,24051,18412,-32.43,-11.74,16249,18412,-11.74
4,2606,裕民,125148,153858,170223,-18.66,-26.47,125148,170223,-26.47
5,2607,榮運,365646,372934,352602,-1.95,3.69,365646,352602,3.69
6,2608,嘉里大榮,571797,530019,482121,7.88,18.6,571797,482121,18.6
7,2609,陽明海運,8688604,9270336,7222258,-6.27,20.3,8688604,7222258,20.3
8,2610,華航,11041154,11422063,10035147,-3.33,10.02,11041154,10035147,10.02
9,2611,志信,33011,36887,41559,-10.5,-20.56,33011,41559,-20.56
10,2612,中航,141417,132909,127835,6.4,10.62,141417,127835,10.62
11,2613,中櫃,182534,212332,199065,-14.03,-8.3,182534,199065,-8.3
12,2614,東森,652141,642260,577602,1.53,12.9,652141,577602,12.9
13,2615,萬海,5610449,5836767,4443526,-3.87,26.26,5610449,4443526,26.26
14,2617,台航,125579,137907,101568,-8.93,23.64,125579,101568,23.64
15,2618,長榮航,8634724,8668763,7588211,-0.39,13.79,8634724,7588211,13.79
16,5607,遠雄港,7245,-4226,4,271.43,181025.0,7245,4,181025.0
17,5608,四維航業,50425,52124,45019,-3.25,12.0,50425,45019,12.0
18,6702,復興航空,681585,688515,537722,-1.0,26.75,681585,537722,26.75
0,2701,萬企,26950,24748,27798,8.89,-3.05,26950,27798,-3.05
1,2702,華園,18817,15738,13533,19.56,39.04,18817,13533,39.04
2,2704,國賓,265994,237001,241214,12.23,10.27,265994,241214,10.27
3,2705,六福,210946,395025,178650,-46.59,18.07,210946,178650,18.07
4,2706,第一店,26114,27226,26811,-4.08,-2.59,26114,26811,-2.59
5,2707,晶華酒店,342892,322517,307365,6.31,11.55,342892,307365,11.55
6,2722,夏都,27316,28759,26904,-5.01,1.53,27316,26904,1.53
7,5706,鳳凰旅遊,50925,93835,62758,-45.72,-18.85,50925,62758,-18.85
8,8940,新天地,209785,80806,144556,159.61,45.12,209785,144556,45.12
0,2801,彰化銀行,1987033,5813473,1873123,-65.82,6.08,1987033,1873123,6.08
1,2809,京城銀行,324595,312844,280892,3.75,15.55,324595,280892,15.55
2,2812,台中銀行,528135,-40070,417894,1418.03,26.38,528135,417894,26.38
3,2816,旺旺保險,479011,841528,506022,-43.07,-5.33,479011,506022,-5.33
4,2820,華票,192482,163563,151168,17.68,27.32,192482,151168,27.32
5,2823,中壽,9976831,27130711,17993312,-63.22,-44.55,9976831,17993312,-44.55
6,2832,台產,367333,1182460,1243897,-68.93,-70.46,367333,1243897,-70.46
7,2833,台灣人壽,4036541,13771710,6757003,-70.68,-40.26,4036541,6757003,-40.26
8,2834,臺灣企銀,1632999,1608361,1284862,1.53,27.09,1632999,1284862,27.09
9,2836,高銀,204815,72618,195017,182.04,5.02,204815,195017,5.02
10,2837,萬泰銀行,80833,67163,38354,20.35,110.75,80833,38354,110.75
11,2838,聯邦銀行,571282,761944,482609,-25.02,18.37,571282,482609,18.37
12,2845,遠東商銀,681868,616408,665579,10.61,2.44,681868,665579,2.44
13,2847,大眾銀行,659979,665733,679249,-0.86,-2.83,659979,679249,-2.83
14,2849,安泰銀行,393754,392211,440842,0.39,-10.68,393754,440842,-10.68
15,2850,新產,1682774,1463202,6291148,15.0,-73.25,1682774,6291148,-73.25
16,2851,中再保,1251480,1617485,608408,-22.62,105.69,1251480,608408,105.69
17,2852,第一保,377643,688918,1455264,-45.18,-74.04,377643,1455264,-74.04
18,2855,統一證券,578189,584267,483993,-1.04,19.46,578189,483993,19.46
19,2856,元富證券,3375083,3259869,2475913,3.53,36.31,3375083,2475913,36.31
20,2867,三商美邦,11390565,11980327,16061243,-4.92,-29.08,11390565,16061243,-29.08
21,2880,華南金,778552,-451825,495401,272.31,57.15,778552,495401,57.15
22,2881,富邦金,5269504,-2253772,2719016,333.8,93.8,5269504,2719016,93.8
23,2882,國泰金,1421059,-2603226,-492876,154.58,388.31,1421059,-492876,388.31
24,2883,開發金,729475,2046285,162662,-64.35,348.46,729475,162662,348.46
25,2884,玉山金控,509298,142772,362465,256.72,40.5,509298,362465,40.5
26,2885,元大金,1259376,811447,688989,55.2,82.78,1259376,688989,82.78
27,2886,兆豐金,1818926,1354913,1445017,34.24,25.87,1818926,1445017,25.87
28,2887,台新金控,1015612,1058476,778696,-4.04,30.42,1015612,778696,30.42
29,2888,新光金,-1712581,-1620892,-1130104,-5.65,-51.54,-1712581,-1130104,-51.54
30,2889,國票金控,184366,537221,72719,-65.68,153.53,184366,72719,153.53
31,2890,永豐金控,623608,312064,44843,99.83,1290.64,623608,44843,1290.64
32,2891,中信金,1195475,782626,1403850,52.75,-14.84,1195475,1403850,-14.84
33,2892,第一金控,811432,756144,41557,7.31,1852.57,811432,41557,1852.57
34,6005,群益證,573511,779134,315399,-26.39,81.83,573511,315399,81.83
0,2901,欣欣大眾,63725,66155,57411,-3.67,10.99,63725,57411,10.99
1,2903,遠百,2493469,1669294,1863756,49.37,33.78,2493469,1863756,33.78
2,2905,三商行,905785,598695,595936,51.29,51.99,905785,595936,51.99
3,2906,高林實,372049,324375,313061,14.69,18.84,372049,313061,18.84
4,2908,特力,1413648,804946,1035320,75.62,36.54,1413648,1035320,36.54
5,2910,統領,214348,133453,153719,60.61,39.44,214348,153719,39.44
6,2911,麗嬰房,302347,222067,218643,36.15,38.28,302347,218643,38.28
7,2912,統一超,9336890,9730864,8761825,-4.04,6.56,9336890,8761825,6.56
